Ключевое слово;Результатов в Яндексе;Слов;Символов;Частотность Весь мир;"""!Частотность !Весь !мир""";Количество найденных доменов в Яндексе по слову;Средняя позиция в Яндексе;Позиция в Яндексе skysmart.ru;Позиция в Яндексе journal.sovcombank.ru;Позиция в Яндексе skillbox.ru;Позиция в Яндексе skyeng.ru;Позиция в Яндексе habr.com;Позиция в Яндексе edu.sravni.ru;Позиция в Яндексе unisender.com;Позиция в Яндексе sky.pro;Позиция в Яндексе blog.skillfactory.ru;Позиция в Яндексе gb.ru
практическое применение искусственного интеллекта;480000;4;49;212;12;2;5;0;0;0;0;1;0;0;0;0;10
применение искусственного интеллекта в технике;621000;5;46;60;0;2;7;0;0;0;0;10;0;0;0;0;4
применение компьютерных технологий в медицине;963000;5;45;47;13;2;2;0;0;0;0;1;0;0;3;0;0
марионеточная деформация в фотошопе как пользоваться;259000;6;52;37;31;2;8;0;0;8;0;0;0;0;9;0;0
как пользоваться искусственным интеллектом в россии;2000000;6;51;28;14;2;3;0;2;4;0;0;0;0;0;0;0
виртуальная сим карта что это такое и как пользоваться;265000;9;54;25;25;2;1;0;0;2;0;0;0;1;0;0;0
как пользоваться нейросетью для создания изображений;755000;6;52;25;4;3;7;0;0;3;0;8;0;11;0;0;0
токен что это такое простыми словами и как пользоваться;1000000;9;55;21;17;2;5;0;4;0;6;0;0;0;0;0;0
что такое торрент и как им пользоваться для чайников;408000;9;52;20;20;2;4;0;0;1;0;0;0;0;0;8;0
как пользоваться фотошопом на компьютере для начинающих;1000000;7;55;17;16;2;6;0;0;0;11;0;0;0;1;0;0
применение современных языков программирования;961000;4;46;17;0;2;2;0;0;0;0;2;0;0;3;0;0
в чем заключается применение облачных технологий;1000000;6;48;15;11;3;8;0;4;0;10;0;0;0;0;0;11
как пользоваться яндекс вордстат для анализа спроса;1000000;7;51;9;9;2;7;0;0;0;0;6;0;9;0;0;0
как научиться пользоваться excel с нуля самостоятельно;455000;7;54;7;7;3;5;0;0;11;0;0;1;0;4;0;0
как пользоваться яндекс почтой подробная инструкция;920000;6;51;5;5;2;6;0;0;0;6;0;0;7;0;0;0
html что это такое простыми словами и как пользоваться;1000000;9;54;4;4;3;6;0;0;5;0;4;0;0;11;0;0
структура данных стек назначение и применение;1000000;6;45;2;2;2;8;0;0;6;0;11;0;0;0;0;0
как пользоваться секретным чатом в телеграмме на айфоне;1000000;8;55;1;1;2;5;0;0;2;0;0;0;8;0;0;0
когда применение статистики особенно актуально;770000;5;46;1;1;2;5;0;0;0;0;7;0;0;4;0;0
